216,126,129,53,61,62,58,28,61,25,29,59,26,47,56,18,54,65,36,37
330,144,71,22,68,102,65,64,121,81,148,114,21,45,17,54,82,39,40,34
347,169,113,50,118,157,103,106,114,26,98,81,40,48,55,90,26,15,43,14
351,251,128,88,138,46,100,33,64,58,57,82,47,57,59,122,23,33,62,41
464,211,263,347,426,302,94,64,29,30,25,151,135,92,30,111,24,22,46,40
330,303,457,122,91,303,42,70,114,35,142,126,38,97,119,81,57,9,36,10
116,142,255,53,76,422,281,37,129,212,151,40,32,96,95,62,90,14,50,39
105,59,239,49,47,64,247,210,235,216,108,127,27,59,4,22,51,20,23,38
150,50,117,115,100,75,77,37,122,114,39,84,134,90,14,11,12,17,0,24
100,0,0,106,106,65,103,77,82,141,124,79,40,80,14,4,0,0,0,24
50,0,0,0,0,0,31,69,126,134,44,125,85,40,7,3,0,0,0,20
0,0,0,0,0,0,0,29,0,33,68,76,77,36,6,5,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
